"ID","hadgem_prec_rcp26_2050","hadgem_prec_rcp85_2050","hadgem_temp_rcp26_2050","hadgem_temp_rcp85_2050","mpiesm_prec_rcp26_2050","mpiesm_prec_rcp85_2050","mpiesm_temp_rcp26_2050","mpiesm_temp_rcp85_2050","noresm_prec_rcp26_2050","noresm_prec_rcp85_2050","noresm_temp_rcp26_2050","noresm_temp_rcp85_2050","N","vocc_temp_rcp26","vocc_temp_rcp85","vocc_prec_rcp26","vocc_prec_rcp85","vocc_rcp85","avg_integrity","a_sum_high_int","intactness","luse_bin"
153,58,185,184,683,39,223,66,503,62,260,46,459,1291,0.0637940666521636,0.418479526692482,0.040244066172435,0.170827219028881,0.418479526692482,6.89225713858807,148,0.114639814097599,0.0295003917288144
154,532,697,9,201,1159,892,10,192,1330,603,64,37,3053,0.00587147690344863,0.0368841290135993,0.306588197489073,0.236180938446569,0.236180938446569,8.7400773055297,1238,0.405502784146741,0.021812324253423
155,52,186,93,2133,231,160,712,630,1174,206,136,984,3956,0.0525909481399156,0.277450738324292,0.0610714442514254,0.0462640625163921,0.277450738324292,9.15601470831804,2241,0.566481294236603,0.0267161376648142
156,59,238,33,1552,341,41,789,301,1525,653,51,847,4901,0.0224268874677413,0.149794489913692,0.0638764407568361,0.0378274119608734,0.149794489913692,9.25926247943421,3136,0.639869414405223,0.0303716571556723
157,55,124,56,1027,36,140,123,453,1411,532,43,738,4130,0.0161400105036835,0.169547588641911,0.0341020654058196,0.050800782205522,0.169547588641911,2.97578465023714,199,0.04818401937046,0.0866850998640487
158,121,182,49,850,32,131,148,364,1623,654,0,326,3018,0.00641357281408557,0.15423871595036,0.0611456248429303,0.0827791396922506,0.15423871595036,6.72730781375013,741,0.245526838966203,0.151669287186786
159,0,68,30,94,40,43,0,88,13,81,47,79,132,0.0849504674586439,0.657413484444887,0.0609200872513494,0.468720049843657,0.657413484444887,6.8371806970786,12,0.0909090909090909,0.0657858369477623
160,200,180,78,167,30,35,0,145,195,10,66,145,441,0.0391538305191303,0.344650491685944,0.238940644677921,0.0902280546008252,0.344650491685944,8.25045317460227,151,0.342403628117914,0.027939837614062
161,0,143,0,7,0,0,0,0,276,103,0,10,865,0.00115606936416185,0.00476449167607926,0.00752697118095541,0.0283383774100206,0.0283383774100206,9.16705472519056,472,0.545664739884393,0.0263167673377735
162,57,84,5,608,34,80,240,415,682,141,38,507,2878,0.0124135926873388,0.175076997020004,0.0381319129448025,0.0341275678661829,0.175076997020004,8.67830855776786,1149,0.399235580264072,0.031692120611365
163,0,18,10,38,6,0,18,38,6,6,0,38,83,0.0680267008829659,0.457831325301205,0.0397822560107786,0.0573759416374048,0.457831325301205,8.48803995789616,19,0.228915662650602,0.00668399308794507
164,49,16,37,545,46,40,3,269,481,105,50,288,1353,0.0130857875279716,0.257364886287014,0.075927983514893,0.0300486727809269,0.257364886287014,5.85783066460198,50,0.0369549150036955,0.212463119312722
165,21,69,0,19,108,114,0,17,45,100,2,14,145,0.00868911068893016,0.114044807662398,0.322292737356275,0.636624446783774,0.636624446783774,6.3572016753354,0,0,0.0687862137846392
166,0,0,0,2,14,19,0,0,38,0,0,0,333,0.003003003003003,0.003783546696381,0.0243328499070387,0.00801321816433016,0.00801321816433016,6.09184435067335,1,0.003003003003003,0.100613919987189
167,70,71,22,103,85,63,22,22,841,101,22,22,1206,0.0182421227197347,0.0305173548524607,0.141826378260144,0.0636247539996529,0.0636247539996529,5.53782756934965,40,0.033167495854063,1.13141636663846
169,2391,3826,541,5663,1982,2116,1912,1208,2839,1052,119,1731,9213,0.053993684808234,0.247401569306821,0.25815574944864,0.2216619001407,0.247401569306821,5.44954195873366,540,0.058612829697167,1.185444172381
170,180,25,63,404,181,70,221,404,39,97,0,403,407,0.0591084900350089,0.991809315135966,0.26611998263862,0.136042786382701,0.991809315135966,9.5554667562973,323,0.793611793611794,0.00541816246198123
171,110,62,1,570,121,297,373,570,463,107,13,524,574,0.0294875598684503,0.965565575240721,0.319404568104282,0.218406426491629,0.965565575240721,7.78796655465534,234,0.407665505226481,0.0787609542254796
172,510,952,0,1727,140,774,752,2089,240,554,15,858,2645,0.0084789880563637,0.550994180699638,0.0974714607838139,0.28045953839146,0.550994180699638,3.74701125127571,243,0.0918714555765595,0.145443458927158
173,204,91,41,280,240,30,126,300,74,115,41,272,301,0.198036962854137,0.942720391328997,0.510259634975086,0.225798126176019,0.942720391328997,4.42601007725781,18,0.0598006644518272,0.0618209777074246
174,35,91,0,557,272,138,368,743,19,43,0,296,807,0.00887992037426505,0.615420140821147,0.070079336560546,0.100907344355357,0.615420140821147,3.0077452782135,1,0.00123915737298637,0.221184254995203
175,0,0,25,35,6,0,31,35,0,0,27,35,50,0.551127165004268,0.7,0.0363424118566428,0.02,0.7,9.75417274037042,40,0.8,0.0415429347706959
176,71,142,0,103,69,22,18,284,64,119,0,40,408,0.00642338577011984,0.258272612519705,0.166508205903329,0.176235136449537,0.258272612519705,5.58011667427601,75,0.183823529411765,0.101351411773983
177,292,1034,540,1402,172,435,1272,1854,1386,868,160,1380,3035,0.157824681845994,0.504375033837606,0.135539583719949,0.240815523028503,0.504375033837606,3.19536706917366,33,0.0108731466227348,0.715037718407679
178,146,13,131,200,64,192,154,392,126,99,0,247,405,0.067216461953865,0.6630546352269,0.260723054270855,0.154942860200177,0.6630546352269,6.23572502571974,92,0.22716049382716,0.23755119520665
179,180,15,162,289,113,379,269,736,207,200,51,315,800,0.163125743159516,0.507697957992318,0.201844588804643,0.130465845937966,0.507697957992318,4.77628175644999,17,0.02125,0.212399324767758
180,233,239,382,1042,429,757,885,1265,285,853,6,1133,1284,0.0985872920090837,0.890220711917338,0.237859773324425,0.417749475672671,0.890220711917338,5.28557200934951,438,0.341121495327103,0.225768365812012
181,142,84,0,43,44,82,6,192,32,24,0,18,202,0.00899564649916901,0.262218116580719,0.289475822743833,0.27169611217302,0.27169611217302,8.82370331575251,110,0.544554455445545,0.0217182463018978
182,37,53,642,1525,16,76,0,1082,432,367,279,911,1585,0.0355645357489858,0.722729686440475,0.0400472363863284,0.0718713675904498,0.722729686440475,8.8546652439738,820,0.517350157728707,0.0134918142177402
183,1566,3462,15,2966,884,1299,231,58,2441,1199,85,354,4878,0.0136395149315203,0.0806539555300951,0.307630084474838,0.359481603246338,0.359481603246338,7.92306426654018,1338,0.274292742927429,0.116190408355299
184,85,198,106,1852,552,122,51,1301,979,703,399,169,2423,0.053324840472295,0.305901481545398,0.147806483352365,0.106081593419231,0.305901481545398,9.45635733207208,1743,0.719356170037144,0.0152357402999453
185,3,3,10,41,0,4,0,26,17,6,26,2,69,0.0925000623023175,0.186529120592147,0.0537453589748723,0.0602922847261421,0.186529120592147,7.30051670771606,16,0.231884057971014,0.00145541623602653
